Frame#,Time,Nose,LEye,LEar,LShoulder,LElbow,LWrist,LHip,REye,REar,RShoulder,RElbow,RWrist,RHip
11,0.183,-9.79842584803231e-05,0.0002560808881174796,5.641190974609988e-05,0.00022935163700890817,0.00039157048239484363,0.0006998034385884361,0.0,-0.0001080741497767606,0.00022630036821648543,-0.00016438553200417722,0.0001477988901911234,0.00044190446828041674,0.0
12,0.2,-5.736480039472924e-05,0.00021398321435645208,9.906691583029458e-05,7.425974511843627e-05,0.00016899576985630188,0.0003191001416853606,0.0,-2.6984680889386537e-05,0.00018892254073428228,-0.0002570407983096937,0.00014179595937201237,1.0128061266653082e-06,0.0
13,0.217,5.3271746089804005e-05,6.588253134077896e-05,-1.3525441045955254e-05,-0.0001077232764758697,1.3073619160148663e-05,-9.471514985827335e-05,0.0,9.122095251220869e-05,1.0475485896316045e-05,-0.00014875990080952684,0.0001138340124864987,-0.00047543753141904895,0.0
14,0.233,0.00010107563857280992,-5.699211329229613e-05,-8.513498589374482e-05,-0.00015984654430242274,-6.802208760289634e-06,-0.00032304769784160126,0.0,0.0001710766905646768,-0.00019384168509588648,3.836569821679065e-05,0.00023326084989020238,-0.0008469992310770257,0.0
15,0.25,5.5807884956910164e-05,-0.00013717066748642165,-9.647198614125772e-05,-8.232192117423368e-06,8.144644285304915e-05,-0.000297733081352859,0.0,0.00018176491659429474,-0.00029919272116265584,8.89393405503953e-05,0.0003941499205981586,-0.0006490691995240599,0.0
16,0.267,-9.78085987589773e-08,-0.00017775345012919038,-4.079443520692055e-05,0.00024662677758063845,0.00017583966430821316,-0.00010912209158380967,0.0,0.0001305086035721728,-0.00025407141884139524,-5.3738008413697696e-05,0.00029210874508719877,0.00020706844850505702,0.0
17,0.283,2.6781408612774394e-06,-0.0001307548201934669,5.6562542082212483e-05,0.000389551818337275,0.00018689046136404147,0.00014906188339288556,0.0,6.23239846919007e-05,-2.0687053305620443e-05,-0.00021678735259874878,-2.2899531871432258e-05,0.0006532700339113546,0.0
18,0.3,5.773264239012087e-05,2.4988670863043596e-05,0.0001084394320141151,0.0003270151579834259,8.234603605251564e-05,0.0004224473973374588,0.0,-3.81707693018719e-06,0.0001962602396100831,-0.00015298746889130788,-0.00015738282307695497,0.0004762493618817495,0.0
19,0.317,9.31322458753515e-05,0.00021491726614965596,0.00014260779430854222,0.00010951763053422537,-0.00011189316786023099,0.000633917582768016,0.0,-7.046222668241218e-05,0.00017753972022919936,5.4509464704362504e-05,-0.00012459573092007243,0.00020509962553968497,0.0
20,0.333,7.8377539405782e-05,0.0003146012937558134,0.00018107976253648318,-0.00014415231339716438,-0.00032400321605807227,0.0006872198221684572,0.0,-0.00010339544961445341,3.16009540430606e-05,7.495807387408846e-05,-0.0002630206138005935,-0.00020259932991854553,0.0
21,0.35,3.797782389639964e-05,0.0002655342207488321,0.0001608137294292049,-0.00030737705272091396,-0.0004689054245953523,0.0005123766139333882,0.0,-6.436349320738884e-05,-7.025102876949115e-05,-7.357372196095419e-05,-0.0005011691065035854,-0.0005743924433320024,0.0
22,0.367,3.291441253414659e-07,8.058762675093958e-05,9.981067954612053e-05,-0.0003031504913567853,-0.0005089786827143783,0.00014460897287567245,0.0,-1.6292311086158406e-05,-2.872394672250332e-05,-9.076586107415564e-05,-0.0002836127928480234,-0.0003995025668268163,0.0
23,0.383,-2.8172052651566782e-05,-0.00014396890902806654,5.4329791193287306e-05,-0.00012866692649371697,-0.0004551152043888876,-0.00023434765142397486,0.0,-1.438461516272446e-06,8.514882045831853e-05,2.8748067654745023e-05,0.00023300600576005854,0.000134011325570504,0.0
