time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,L5_S1_Flex_Ext,L5_S1_Lat_Bending,L5_S1_axial_rotation,L4_L5_Flex_Ext,L4_L5_Lat_Bending,L4_L5_axial_rotation,L3_L4_Flex_Ext,L3_L4_Lat_Bending,L3_L4_axial_rotation,L2_L3_Flex_Ext,L2_L3_Lat_Bending,L2_L3_axial_rotation,L1_L2_Flex_Ext,L1_L2_Lat_Bending,L1_L2_axial_rotation,L1_T12_Flex_Ext,L1_T12_Lat_Bending,L1_T12_axial_rotation,Abs_r3,Abs_r2,Abs_r1,Abs_t1,Abs_t2,neck_flexion,neck_bending,neck_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.35,95.64647576,1.76693693,89.07494492,0.46461451,1.70117296,0.15224222,53.70137852,-10.3427812,0.0,58.75999068,1.02555531,0.0,0.0,0.0,53.70137852,-10.3427812,0.0,58.75999068,1.02555531,0.0,0.0,0.0,-0.03645193,0.49240751,-1.35684154,-0.06769489,0.65490199,-1.44164414,-0.05988688,1.19723962,-1.44164414,-0.04166091,1.19723962,-1.18723635,-0.03384927,1.00411739,-1.10243375,-0.02082863,0.76273923,-1.01763116,-0.26037252,5.57021223,-7.5463456,0.0,0.0,10.38664209,-2.8073911,9.76391629,-1.02396235,-27.04439776,2.53575862,93.33205315,46.58178023,0.0,4.948034,21.16455276,-21.14233473,15.29401632,84.77487614,48.54477209,0.0,4.948034
0.367,95.73289549,1.78092235,89.0554103,0.46453771,1.700936,0.15244897,53.69507448,-10.33908548,0.0,58.76297777,1.02560744,0.0,0.0,0.0,53.69507448,-10.33908548,0.0,58.76297776,1.02560744,0.0,0.0,0.0,-0.03784036,0.49518462,-1.32000081,-0.07027334,0.65859554,-1.40250086,-0.06216793,1.20399187,-1.40250086,-0.04324775,1.20399187,-1.15500071,-0.03513856,1.00978047,-1.07250066,-0.02162198,0.76704097,-0.9900006,-0.27028993,5.60162741,-7.34144849,0.0,0.0,10.10115121,-2.84900578,9.48522218,-1.3674273,-27.10101785,2.40756343,93.600913,46.5996111,0.0,4.94902531,20.0842168,-21.42262869,15.06366224,87.55217145,48.53228052,0.0,4.94902531
0.383,95.83756012,1.79399596,89.03508361,0.46445755,1.70074284,0.15249416,53.68845123,-10.33523906,0.0,58.76611399,1.02566218,0.0,0.0,0.0,53.68845123,-10.33523906,0.0,58.76611399,1.02566218,0.0,0.0,0.0,-0.03816661,0.5003833,-1.28131805,-0.0708792,0.66550979,-1.36140043,-0.06270392,1.21663196,-1.36140043,-0.04362061,1.21663196,-1.12115329,-0.03544151,1.02038163,-1.04107091,-0.0218084,0.77509373,-0.96098854,-0.27262025,5.66043598,-7.12630659,0.0,0.0,9.87045518,-2.96829684,9.2388766,-1.53509954,-27.16108434,2.38900722,93.68419197,46.62432017,0.0,4.95004813,19.05930303,-21.66106493,14.95234353,90.25677172,48.53587923,0.0,4.95004813
0.4,95.96188028,1.80349986,89.04817417,0.46446742,1.70051119,0.15244827,53.68479695,-10.33313303,0.0,58.76784368,1.02569237,0.0,0.0,0.0,53.68479695,-10.33313303,0.0,58.76784367,1.02569237,0.0,0.0,0.0,-0.03720743,0.5074609,-1.23485579,-0.06909792,0.674923,-1.31203427,-0.06112809,1.23384043,-1.31203427,-0.04252437,1.23384043,-1.08049881,-0.03455082,1.03481426,-1.00332033,-0.02126033,0.78605693,-0.92614184,-0.26576896,5.74049918,-6.86789742,0.0,0.0,9.64147587,-3.11728165,8.88288534,-1.61513013,-27.22839035,2.29708582,93.63846599,46.62854529,0.0,4.9506044,18.22717087,-21.87195982,15.04547181,92.78020366,48.5562119,0.0,4.9506044
0.417,96.12630962,1.81009836,89.0874186,0.46451798,1.70031887,0.15242149,53.68298669,-10.3320954,0.0,58.76870046,1.02570732,0.0,0.0,0.0,53.68298669,-10.3320954,0.0,58.76870046,1.02570732,0.0,0.0,0.0,-0.03671245,0.51641366,-1.19188387,-0.0681787,0.68683017,-1.26637661,-0.06031489,1.25560817,-1.26637661,-0.04195866,1.25560817,-1.04289839,-0.03409118,1.05307073,-0.96840565,-0.0209775,0.79992476,-0.8939129,-0.26223338,5.84177458,-6.62890053,0.0,0.0,9.46122657,-3.22854119,8.43379835,-1.59947541,-27.25263023,2.17001842,93.41508895,46.62156616,0.0,4.9508773,17.57433754,-22.05873341,15.23674529,95.07485651,48.58118277,0.0,4.9508773
0.433,96.14831144,1.81978551,89.02811233,0.46474319,1.70040417,0.15232496,53.68035275,-10.33058913,0.0,58.7699466,1.02572907,0.0,0.0,0.0,53.68035275,-10.33058913,0.0,58.7699466,1.02572907,0.0,0.0,0.0,-0.03639826,0.50684185,-1.16139859,-0.06759521,0.67409966,-1.233986,-0.05979871,1.23233528,-1.233986,-0.04159957,1.23233528,-1.01622376,-0.03379943,1.03355191,-0.94363635,-0.02079797,0.78509803,-0.87104894,-0.25998915,5.73349641,-6.45935052,0.0,0.0,9.4124409,-3.26871304,8.15085168,-1.50430735,-27.17929211,2.11539794,93.25620453,46.61832882,0.0,4.95127239,16.79426366,-22.36912656,15.08865246,97.49415032,48.58634326,0.0,4.95127239
0.45,96.2177353,1.83976697,89.02544433,0.46492079,1.70029929,0.15227193,53.67873597,-10.32966774,0.0,58.77071139,1.02574242,0.0,0.0,0.0,53.67873597,-10.32966774,0.0,58.77071139,1.02574242,0.0,0.0,0.0,-0.03442785,0.50280433,-1.1414356,-0.06393596,0.66872976,-1.21277533,-0.05656152,1.22251844,-1.21277533,-0.03934759,1.22251844,-0.99875615,-0.0319697,1.02531859,-0.92741643,-0.01967207,0.7788439,-0.8560767,-0.2459147,5.68782312,-6.34832238,0.0,0.0,9.349061,-3.29925286,7.80572597,-1.45528483,-27.19835983,2.01511011,93.00096419,46.61149459,0.0,4.95151335,16.13688756,-22.67137289,15.08353907,99.70454884,48.59872733,0.0,4.95151335
0.467,95.85690346,1.89762231,88.92919323,0.4651619,1.70093213,0.15218162,53.67240719,-10.3260757,0.0,58.77370311,1.02579463,0.0,0.0,0.0,53.67240719,-10.3260757,0.0,58.77370311,1.02579463,0.0,0.0,0.0,-0.03637438,0.44219881,-1.18749453,-0.06755086,0.58812442,-1.26171293,-0.05975947,1.0751622,-1.26171293,-0.04157228,1.0751622,-1.03905771,-0.03377725,0.90173182,-0.9648393,-0.02078432,0.68496596,-0.89062089,-0.25981857,5.00224142,-6.6044883,0.0,0.0,9.54260703,-3.07804512,8.11420237,-1.08788511,-26.83911454,2.47620218,92.74465793,46.65021617,0.0,4.95244845,14.90205937,-23.29095441,14.1012318,102.49227617,48.56165088,0.0,4.95244845
0.483,96.00219695,1.93234901,88.96191874,0.46525415,1.70087108,0.1523224,53.67021022,-10.32483761,0.0,58.77474126,1.02581275,0.0,0.0,0.0,53.67021022,-10.32483761,0.0,58.77474126,1.02581275,0.0,0.0,0.0,-0.0362146,0.44615872,-1.1890487,-0.06725413,0.59339109,-1.26336424,-0.05949697,1.0847903,-1.26336424,-0.04138967,1.0847903,-1.04041761,-0.03362888,0.90980685,-0.96610207,-0.02069302,0.69109985,-0.89178652,-0.25867727,5.04703662,-6.61313214,0.0,0.0,9.3655336,-3.1447898,7.81391813,-1.13926643,-26.85829836,2.36083242,92.65851216,46.64846473,0.0,4.95276873,14.32638485,-23.59399271,14.11418773,104.82492032,48.5805349,0.0,4.95276873
0.5,95.8042117,1.98375581,89.0296575,0.46533565,1.70095077,0.15246445,53.65893525,-10.31854239,0.0,58.78006443,1.02590566,0.0,0.0,0.0,53.65893525,-10.31854239,0.0,58.78006443,1.02590566,0.0,0.0,0.0,-0.03755622,0.41046273,-1.25813372,-0.06974565,0.54591543,-1.33676708,-0.06170111,0.99799908,-1.33676708,-0.042923,0.99799908,-1.100867,-0.0348747,0.8370156,-1.02223365,-0.02145962,0.63580677,-0.94360029,-0.26826031,4.64323649,-6.99736231,0.0,0.0,9.37197034,-3.02563756,8.17154247,-0.93487035,-26.65219878,2.68999686,92.48064425,46.72028527,0.0,4.95438268,13.25422902,-23.97557099,13.34082881,107.72733189,48.60139186,0.0,4.95438268
